source_platform,product_external_id,product_name,brand,category_lvl1,category_lvl2,category_lvl3,price_current,price_original,discount_percent,rating_avg,review_count,stock_available,store_name,image_url,crawl_time,attributes.spec_cpu,attributes.spec_ram,attributes.spec_storage,attributes.spec_display,attributes.spec_os
Tiki,278730376,Máy tính bảng Samsung Galaxy Tab A11 Wifi (4GB/64GB) - Hàng chính hãng,Samsung,,,,3799000,3990000,4.79,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/75/c2/d4/bccec48a91c3dd9b9427be0ca06a51e8.jpg,2025-10-15T05:13:35.590642+00:00,,,,,
Tiki,278729165,Máy tính bảng Samsung Galaxy Tab A11 LTE (4GB/64GB) - Hàng chính hãng,Samsung,,,,5369000,5490000,2.2,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/84/98/06/027898fb79b184eb1d37347a6895bd8d.jpg,2025-10-15T05:13:35.617663+00:00,,,,,
Tiki,278749777,Điện thoại Realme C71 (6GB/128GB) - Hàng chính hãng,Realme,,,,4410000,4410000,0.0,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/05/09/d7/4f474eeb7727937ec342c7021d72c1b5.jpg,2025-10-15T05:13:36.080820+00:00,,,,,
Tiki,278726697,Điện thoại Xiaomi 15T 5G (12GB/512GB) - Hàng chính hãng,Xiaomi,,,,13490000,14990000,10.01,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/c4/3b/44/51f0a56fdc0937f37f0bc13703ccb718.jpg,2025-10-15T05:13:36.138712+00:00,,,,,
Tiki,278726370,Điện thoại Xiaomi 15T 5G (12GB/256GB) - Hàng chính hãng,Xiaomi,,,,12290000,13990000,12.15,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/59/c3/ed/2b6e340bcd5d4f1721eb8049ffd65eaa.jpg,2025-10-15T05:13:36.981530+00:00,,,,,
Tiki,278726186,Điện thoại Xiaomi 15T Pro 5G (12GB/512GB) - Hàng chính hãng,Xiaomi,,,,17490000,19490000,10.26,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/48/d7/ed/ce9b4531249dfc8e8555be76b605cfd5.jpg,2025-10-15T05:13:37.015033+00:00,,,,,
Tiki,278711036,Điện Thoại Samsung Galaxy A07 - Đã Kích Hoạt Bảo Hành Điện Tử - Hàng Chính Hãng,Samsung,,,,2550000,3090000,17.48,4,1,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/a7/b1/60/3fa899d490d38227f31b0d5c787624ec.jpg,2025-10-15T05:13:37.516425+00:00,,,,,
Tiki,278672823,Điện thoại Samsung Galaxy A17 LTE (8GB/128GB) - Hàng chính hãng,Samsung,,,,4849000,5190000,6.57,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/b9/7e/d9/196540985946c0203957f971210129c1.jpg,2025-10-15T05:13:37.580208+00:00,,,,,
Tiki,278642597,Tai nghe Samsung có dây EO-IA500BBEGWW 3.5mm - Hàng Chính Hãng,Samsung,,,,220000,290000,24.14,0,0,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/1e/e7/46/90c79b8bde4d3de7fc10eeaf052f083c.png,2025-10-15T05:13:38.241279+00:00,,,,,
Tiki,278665998,Điện Thoại Xiaomi Redmi 15 8GB/128GB - Hàng Chính Hãng,Xiaomi,,,,4599000,5190000,11.39,0,0,,Hồng Hạnh Mobile,https://salt.tikicdn.com/cache/280x280/ts/product/7b/a8/96/70bd7c8b64a4fba46b021000c1bca00c.jpg,2025-10-15T05:13:38.400898+00:00,,,,,
