customer_id,customer_name,email,phone,address,city,country,registration_date,customer_segment,lifetime_value,age,gender,created_at
CUST_00000000,Brady Hernandez,vduong@example.org,(00)632-4688,"102 Burton Trail
North Kellybury, NV 09057",Thị xã JaneThị xã,Vietnam,2024-08-17,New,3375.42,52,Male,2025-09-17 15:09:33.920737
CUST_00000001,Tyler King,sullivankevin@example.net,01 8909 7957,"27 John Hẻm
JanePhường, 898373",JaneQuận,USA,2023-11-18,VIP,241.4,41,Male,2025-09-17 15:09:33.921136
CUST_00000002,Quang Tấn Mai,phamjohn@example.org,3707040964,"8 Vũ Số
JaneThành phố, 442553",New Charleshaven,Korea,2024-02-27,Regular,3072.44,68,Male,2025-09-17 15:09:33.922209
CUST_00000003,Bác Dũng Vũ,dangjohn@example.com,(928)487-7479x70915,"4 Jane Đường
JaneQuận, 419671",JohnThị xã,USA,2025-04-02,Regular,1838.4,23,Male,2025-09-17 15:09:33.922386
CUST_00000004,Philip Orr,croberson@example.com,+1-636-257-3889x845,"3691 Tracy Pines Apt. 268
Bridgesport, MP 67578",West Carrie,Singapore,2024-07-29,New,842.25,33,Male,2025-09-17 15:09:33.922922
CUST_00000005,Pamela Terry,victormejia@example.com,+84 13 7773013,"96258 Jensen Mountain
Ambermouth, WY 02313",JaneThành phố,Singapore,2023-11-05,VIP,4504.94,55,Female,2025-09-17 15:09:33.923579
CUST_00000006,Bác Minh Nguyễn,dangjohn@example.net,472-625-9529x5069,"096 Mai Hẻm
Quận JanePhường, 807484",JohnQuận,USA,2024-12-01,New,3548.08,42,Male,2025-09-17 15:09:33.923745
CUST_00000007,William Carrillo,jane51@example.org,387-513-6711x7511,"953 Hoàng Làng
Thị xã JaneHuyện, 994224",South Bethmouth,USA,2025-06-14,Occasional,2732.15,42,Male,2025-09-17 15:09:33.924068
CUST_00000008,Nhật Nguyễn,jclayton@example.com,(844)450-0141,"33115 Villanueva Flat Suite 779
North Jennifer, VT 68068",Quận JohnQuận,Singapore,2025-04-20,New,4482.86,38,Other,2025-09-17 15:09:33.924405
CUST_00000009,Jose Adams,john51@example.com,+1-971-815-4401x406,"8564 Smith Port Apt. 314
West Travisport, WA 11230",Thành phố JohnPhường,USA,2024-08-25,VIP,2463.69,61,Male,2025-09-17 15:09:33.924803
CUST_00000010,Meagan Boyle,janele@example.org,224.564.8390x4987,"0104 Perkins Knoll
North Daniel, FM 23884",Gregorytown,Korea,2024-09-21,Occasional,4693.1,24,Other,2025-09-17 15:09:33.925225
CUST_00000011,Michael Bennett,jonathanday@example.com,796-309-8941x234,"240 Cheryl Port
Calderonville, VT 93669",New Julieview,Vietnam,2024-04-11,Occasional,3260.77,48,Female,2025-09-17 15:09:33.925734
CUST_00000012,Trung Dương,jjones@example.net,523-305-0559,"4 Hoàng Ngõ
JaneThị xã, 379368",JaneThị xã,Vietnam,2023-10-24,Regular,685.0,66,Other,2025-09-17 15:09:33.926053
CUST_00000013,Robert Leon,alvarezwilliam@example.org,001-485-714-6045x85658,"9949 Anderson Views Suite 550
Whiteport, NE 65964",Thành phố JaneQuận,Vietnam,2025-05-13,Occasional,3118.96,24,Male,2025-09-17 15:09:33.926951
CUST_00000014,Joshua Mercado,johnvu@example.com,931-310-2965x6786,"79 Lê Tổ
JohnXã, 802528",Thành phố JohnHuyện,Korea,2023-12-18,VIP,4100.81,39,Male,2025-09-17 15:09:33.927189
CUST_00000015,Hạnh Đức Phạm,jane32@example.net,720-833-8787,"795 Hurst Ville
West Annette, NM 25221",JohnThị xã,Vietnam,2025-07-20,VIP,890.17,19,Female,2025-09-17 15:09:33.927448
CUST_00000016,Bryan Franklin,kbui@example.com,939-821-5201,"78 Jane Hẻm
Quận JanePhường, 362349",South Donald,Vietnam,2025-02-08,New,2225.92,40,Male,2025-09-17 15:09:33.927737
CUST_00000017,Khoa Mai Bảo Lê,vujane@example.com,4632801267,"2 John Số
Thành phố JanePhường, 615660",JohnThị xã,Vietnam,2024-12-01,VIP,1698.08,35,Other,2025-09-17 15:09:33.927877
CUST_00000018,Bảo Trí Phạm,maijane@example.net,(05) 6026 2573,"1558 Michael Course
Port James, CO 69373",South Christopherland,USA,2024-02-24,New,540.47,30,Male,2025-09-17 15:09:33.928145
CUST_00000019,Ông Phúc Mai,aanderson@example.com,+1-419-272-2167x48200,"034 Crystal Hills
Wilsonburgh, AK 17817",Thành phố JanePhường,Vietnam,2024-02-23,Regular,1515.17,45,Other,2025-09-17 15:09:33.928455
CUST_00000020,Chi Phạm,meyererica@example.com,4863961627,"5369 Foster Summit
Shermanburgh, TX 13373",JohnQuận,Japan,2025-02-08,VIP,1151.01,62,Male,2025-09-17 15:09:33.928895
CUST_00000021,Seth Morgan DVM,lejohn@example.net,(360)605-0104,"411 Trần Khu
JohnThành phố, 551866",North Brendahaven,Japan,2025-02-11,New,2381.95,39,Other,2025-09-17 15:09:33.929182
CUST_00000022,Ryan Cummings,rdunn@example.org,+1-842-419-0712x4016,"960 Stephanie Plain Suite 768
Mclaughlinton, NY 77128",North Rickport,Japan,2024-09-24,New,1723.73,66,Other,2025-09-17 15:09:33.929723
CUST_00000023,Sean Vega,janetran@example.com,269.993.6617x886,"PSC 8887, Box 2888
APO AP 19600",Thành phố JaneThị xã,USA,2023-10-04,New,2181.85,34,Female,2025-09-17 15:09:33.929996
CUST_00000024,Chị Hương Vũ,karen17@example.org,650.852.9355x39319,"759 Mai Khu
JaneHuyện, 244223",Katrinaburgh,Singapore,2023-10-27,New,972.43,29,Male,2025-09-17 15:09:33.930224
CUST_00000025,James Shaw,mmalone@example.org,+1-739-714-0920x27135,"Thành phố JaneQuận
87 Jane Khu, 619978",Thị xã JohnHuyện,Vietnam,2025-03-13,New,4386.55,62,Male,2025-09-17 15:09:33.930531
CUST_00000026,Matthew Davis,thompsonlaura@example.com,03 8927 8654,"412 Phạm Ngõ
Huyện JaneXã, 437081",JohnQuận,Japan,2025-05-14,Occasional,1895.86,51,Male,2025-09-17 15:09:33.930990
CUST_00000027,Trọng Phạm,phamjane@example.org,+84-70-180111,"9906 Fisher Camp
Lake Michaelfurt, NM 51825",Thành phố JaneHuyện,Singapore,2024-05-07,VIP,4412.68,36,Male,2025-09-17 15:09:33.931334
CUST_00000028,Phúc Tấn Nguyễn,john16@example.org,001-691-784-4929x25417,"92 John Đường
JaneThị xã, 430482",New Lisafort,USA,2024-10-04,Occasional,1433.79,55,Male,2025-09-17 15:09:33.931525
CUST_00000029,Christopher Myers,lejane@example.com,834-619-0958,"803 Alan Parkways Suite 868
Williamville, CA 23868",Joseshire,Vietnam,2025-08-29,Occasional,2460.84,21,Other,2025-09-17 15:09:33.931896
CUST_00000030,Quang Bùi,hoangjane@example.com,(06)269-3129,"87451 Wood Summit Apt. 871
South Richard, NY 86221",Quận JaneThị xã,Singapore,2025-01-11,VIP,1533.97,32,Other,2025-09-17 15:09:33.932229
CUST_00000031,Tú Mai,johntran@example.net,7857702941,"797 Mai Đường
JaneThành phố, 643722",Hunterchester,Vietnam,2025-09-12,Occasional,2817.94,70,Other,2025-09-17 15:09:33.932478
CUST_00000032,Anh Châu Trần,perkinscourtney@example.com,747-483-4957x378,"Unit 4377 Box 4372
DPO AA 67097",JaneXã,Korea,2024-08-11,Regular,3967.83,31,Female,2025-09-17 15:09:33.932733
CUST_00000033,Quang Quang Dương,nguyenjane@example.com,07 3650 3998,"734 Trần Dãy
JohnPhường, 774376",JaneHuyện,Vietnam,2025-04-17,Occasional,2714.28,21,Male,2025-09-17 15:09:33.932903
CUST_00000034,Amy Collier,lindavargas@example.com,08 2175 5950,"600 Nguyễn Tổ
Thị xã JaneQuận, 347412",Huyện JohnHuyện,Singapore,2024-07-26,New,2945.22,44,Female,2025-09-17 15:09:33.933265
