customer_id,first_name,last_name,full_name,email,phone,date_of_birth,age,gender,registration_date,city,state,postal_code,region,country,address,customer_segment,income_level,monthly_spending_usd,preferred_device,preferred_payment_method,shopping_frequency,market_focus,vietnam_region_preference,data_source,created_at,integrated_id,data_integration_date
VN_CUST_000001,Customer_1,Vietnam_357,Vietnamese Customer 1,customer1@vietnam-ecommerce.com,84936486499,1994-10-09,31,F,2023-01-16,Hanoi,Hanoi,100000,North,Vietnam,844 Hanoi Street,Regular,Low,139.91,Mobile,E_Wallet_ZaloPay,Weekly,Vietnam,North,Vietnam_Demographics,2025-10-01T19:06:24.423536,VN_CUST_000001,2025-10-01T21:32:54.884681
VN_CUST_000002,Customer_2,Vietnam_708,Vietnamese Customer 2,customer2@vietnam-ecommerce.com,84931962693,1984-10-11,41,M,2022-10-13,Da Nang,Da Nang,550000,Central,Vietnam,49 Da Nang Street,Regular,Low,59.13,Desktop,E_Wallet_MoMo,Quarterly,Vietnam,Central,Vietnam_Demographics,2025-10-01T19:06:24.423583,VN_CUST_000002,2025-10-01T21:32:54.884681
VN_CUST_000003,Customer_3,Vietnam_511,Vietnamese Customer 3,customer3@vietnam-ecommerce.com,84949848684,2000-10-07,25,F,2023-11-05,Da Nang,Da Nang,550000,Central,Vietnam,981 Da Nang Street,Regular,Low,133.54,Mobile,COD,Weekly,Vietnam,Central,Vietnam_Demographics,2025-10-01T19:06:24.423619,VN_CUST_000003,2025-10-01T21:32:54.884681
VN_CUST_000004,Customer_4,Vietnam_127,Vietnamese Customer 4,customer4@vietnam-ecommerce.com,84924820879,1990-10-10,35,M,2024-09-17,Da Nang,Da Nang,550000,Central,Vietnam,795 Da Nang Street,Regular,Middle,215.09,Mobile,E_Wallet_MoMo,Monthly,Vietnam,Central,Vietnam_Demographics,2025-10-01T19:06:24.423654,VN_CUST_000004,2025-10-01T21:32:54.884681
VN_CUST_000005,Customer_5,Vietnam_341,Vietnamese Customer 5,customer5@vietnam-ecommerce.com,84913675469,2003-10-07,22,F,2024-10-15,Da Nang,Da Nang,550000,Central,Vietnam,865 Da Nang Street,High_Value,Middle,344.21,Desktop,Credit_Card,Weekly,Vietnam,Central,Vietnam_Demographics,2025-10-01T19:06:24.423682,VN_CUST_000005,2025-10-01T21:32:54.884681
VN_CUST_000006,Customer_6,Vietnam_853,Vietnamese Customer 6,customer6@vietnam-ecommerce.com,84922369826,2001-10-07,24,M,2024-05-19,Da Nang,Da Nang,550000,Central,Vietnam,733 Da Nang Street,Premium,High,811.7,Mobile,Bank_Transfer,Rarely,Vietnam,Central,Vietnam_Demographics,2025-10-01T19:06:24.423708,VN_CUST_000006,2025-10-01T21:32:54.884681
VN_CUST_000007,Customer_7,Vietnam_782,Vietnamese Customer 7,customer7@vietnam-ecommerce.com,84906593720,2004-10-06,21,F,2024-08-16,Hai Phong,Hai Phong,180000,North,Vietnam,129 Hai Phong Street,Regular,Low,111.19,Mobile,E_Wallet_ZaloPay,Monthly,Vietnam,North,Vietnam_Demographics,2025-10-01T19:06:24.423737,VN_CUST_000007,2025-10-01T21:32:54.884681
VN_CUST_000008,Customer_8,Vietnam_505,Vietnamese Customer 8,customer8@vietnam-ecommerce.com,84942422506,2000-10-07,25,F,2023-12-04,Ho Chi Minh City,Ho Chi Minh,700000,South,Vietnam,331 Ho Chi Minh City Street,High_Value,Middle,363.02,Mobile,E_Wallet_MoMo,Monthly,Vietnam,South,Vietnam_Demographics,2025-10-01T19:06:24.423764,VN_CUST_000008,2025-10-01T21:32:54.884681
VN_CUST_000009,Customer_9,Vietnam_717,Vietnamese Customer 9,customer9@vietnam-ecommerce.com,84915125139,1994-10-09,31,M,2024-03-27,Ho Chi Minh City,Ho Chi Minh,700000,South,Vietnam,274 Ho Chi Minh City Street,Regular,Low,70.12,Desktop,Bank_Transfer,Weekly,Vietnam,South,Vietnam_Demographics,2025-10-01T19:06:24.423790,VN_CUST_000009,2025-10-01T21:32:54.884681
VN_CUST_000010,Customer_10,Vietnam_624,Vietnamese Customer 10,customer10@vietnam-ecommerce.com,84919977063,1990-10-10,35,M,2022-11-12,Hanoi,Hanoi,100000,North,Vietnam,789 Hanoi Street,Premium,High,459.71,Desktop,E_Wallet_ZaloPay,Monthly,Vietnam,North,Vietnam_Demographics,2025-10-01T19:06:24.423816,VN_CUST_000010,2025-10-01T21:32:54.884681
VN_CUST_000011,Customer_11,Vietnam_954,Vietnamese Customer 11,customer11@vietnam-ecommerce.com,84944715111,2004-10-06,21,F,2024-07-25,Hanoi,Hanoi,100000,North,Vietnam,556 Hanoi Street,Regular,Middle,326.4,Desktop,E_Wallet_ZaloPay,Monthly,Vietnam,North,Vietnam_Demographics,2025-10-01T19:06:24.423843,VN_CUST_000011,2025-10-01T21:32:54.884681
VN_CUST_000012,Customer_12,Vietnam_990,Vietnamese Customer 12,customer12@vietnam-ecommerce.com,84929075501,1998-10-08,27,F,2022-11-23,Da Nang,Da Nang,550000,Central,Vietnam,314 Da Nang Street,Regular,Low,107.92,Mobile,E_Wallet_ZaloPay,Monthly,Vietnam,Central,Vietnam_Demographics,2025-10-01T19:06:24.423872,VN_CUST_000012,2025-10-01T21:32:54.884681
VN_CUST_000013,Customer_13,Vietnam_275,Vietnamese Customer 13,customer13@vietnam-ecommerce.com,84912013156,2002-10-07,23,M,2024-04-16,Da Nang,Da Nang,550000,Central,Vietnam,20 Da Nang Street,Regular,Low,100.17,Mobile,Bank_Transfer,Quarterly,Vietnam,Central,Vietnam_Demographics,2025-10-01T19:06:24.423901,VN_CUST_000013,2025-10-01T21:32:54.884681
VN_CUST_000014,Customer_14,Vietnam_895,Vietnamese Customer 14,customer14@vietnam-ecommerce.com,84949174742,1998-10-08,27,M,2022-12-13,Da Nang,Da Nang,550000,Central,Vietnam,944 Da Nang Street,Regular,Low,107.17,Desktop,Bank_Transfer,Monthly,Vietnam,Central,Vietnam_Demographics,2025-10-01T19:06:24.423929,VN_CUST_000014,2025-10-01T21:32:54.884681
