order_id,customer_id,order_date,order_status,total_amount_usd,total_amount_vnd,subtotal_usd,tax_amount_usd,shipping_cost_usd,discount_amount_usd,currency,payment_status,payment_method,shipping_method,shipping_address,order_source,platform,delivery_region,customer_segment,market_focus,vietnam_specific_promotion,data_source,created_at,integrated_id,data_integration_date
VN_ORDER_000001,VN_CUST_001018,2024-11-06 19:06:24,Delivered,1262.47,30299280.0,1147.7,114.77,0,0.0,USD,Paid,Bank_Transfer,Standard,"43 Ho Chi Minh City Street, Ho Chi Minh City, Ho Chi Minh",Mobile_App,Lazada,South,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.613505,VN_ORDER_000001,2025-10-01T21:32:54.885802
VN_ORDER_000002,VN_CUST_000658,2025-04-13 19:06:24,Delivered,3750.04,90001034.0,3777.62,377.76,0,405.34,USD,Paid,E_Wallet_MoMo,Express,"256 Da Nang Street, Da Nang, Da Nang",Mobile_App,Shopee,Central,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.614511,VN_ORDER_000002,2025-10-01T21:32:54.885802
VN_ORDER_000003,VN_CUST_001993,2024-12-03 19:06:24,Returned,536.9,12885589.0,522.3,52.23,0,37.63,USD,Paid,E_Wallet_MoMo,Same_Day,"920 Hanoi Street, Hanoi, Hanoi",Mobile_App,Tiki,North,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.615342,VN_ORDER_000003,2025-10-01T21:32:54.885802
VN_ORDER_000004,VN_CUST_004447,2025-08-11 19:06:24,Delivered,366.96,8807087.0,382.4,38.24,0,53.68,USD,Paid,E_Wallet_ZaloPay,Same_Day,"639 Hai Phong Street, Hai Phong, Hai Phong",Website,Shopee,North,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.616078,VN_ORDER_000004,2025-10-01T21:32:54.885802
VN_ORDER_000005,VN_CUST_002980,2025-01-01 19:06:24,Delivered,377.04,9048864.0,342.76,34.28,0,0.0,USD,Paid,Bank_Transfer,Express,"711 Hai Phong Street, Hai Phong, Hai Phong",Mobile_App,Lazada,North,Premium,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.616915,VN_ORDER_000005,2025-10-01T21:32:54.885802
VN_ORDER_000006,VN_CUST_003470,2025-04-24 19:06:24,Delivered,525.47,12611280.0,477.7,47.77,0,0.0,USD,Paid,COD,Express,"382 Hai Phong Street, Hai Phong, Hai Phong",Mobile_App,Shopee,North,High_Value,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.618138,VN_ORDER_000006,2025-10-01T21:32:54.885802
VN_ORDER_000007,VN_CUST_000594,2024-12-21 19:06:24,Cancelled,545.28,13086744.0,495.71,49.57,0,0.0,USD,Failed,Bank_Transfer,Same_Day,"846 Can Tho Street, Can Tho, Can Tho",Website,Sendo,South,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.619230,VN_ORDER_000007,2025-10-01T21:32:54.885802
VN_ORDER_000008,VN_CUST_001462,2025-06-18 19:06:24,Delivered,574.53,13788720.0,522.3,52.23,0,0.0,USD,Paid,Bank_Transfer,Express,"994 Da Nang Street, Da Nang, Da Nang",Mobile_App,Tiki,Central,High_Value,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.620325,VN_ORDER_000008,2025-10-01T21:32:54.885802
VN_ORDER_000009,VN_CUST_000043,2025-09-20 19:06:24,Delivered,604.48,14507532.0,551.78,55.18,0,2.48,USD,Paid,Bank_Transfer,Standard,"19 Hai Phong Street, Hai Phong, Hai Phong",Social_Media,Shopee,North,High_Value,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.621587,VN_ORDER_000009,2025-10-01T21:32:54.885802
VN_ORDER_000010,VN_CUST_002995,2025-06-27 19:06:24,Processing,894.47,21467293.0,909.68,90.97,0,106.18,USD,Paid,COD,Express,"948 Hanoi Street, Hanoi, Hanoi",Social_Media,Shopee,North,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.622146,VN_ORDER_000010,2025-10-01T21:32:54.885802
VN_ORDER_000011,VN_CUST_000603,2025-05-22 19:06:24,Processing,6126.14,147027408.0,5569.22,556.92,0,0.0,USD,Paid,COD,Express,"225 Hanoi Street, Hanoi, Hanoi",Website,Shopee,North,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.622976,VN_ORDER_000011,2025-10-01T21:32:54.885802
VN_ORDER_000012,VN_CUST_002100,2025-04-20 19:06:24,Delivered,1816.02,43584552.0,1650.93,165.09,0,0.0,USD,Paid,Credit_Card,Express,"209 Can Tho Street, Can Tho, Can Tho",Social_Media,Shopee,South,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.624352,VN_ORDER_000012,2025-10-01T21:32:54.885802
VN_ORDER_000013,VN_CUST_001354,2025-07-06 19:06:24,Delivered,2493.19,59836656.0,2266.54,226.65,0,0.0,USD,Paid,Bank_Transfer,Standard,"102 Ho Chi Minh City Street, Ho Chi Minh City, Ho Chi Minh",Social_Media,Shopee,South,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.625013,VN_ORDER_000013,2025-10-01T21:32:54.885802
VN_ORDER_000014,VN_CUST_001556,2025-08-25 19:06:24,Shipped,2042.36,49016616.0,1856.69,185.67,0,0.0,USD,Paid,COD,Standard,"259 Da Nang Street, Da Nang, Da Nang",Mobile_App,Tiki,Central,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.625942,VN_ORDER_000014,2025-10-01T21:32:54.885802
VN_ORDER_000015,VN_CUST_002915,2025-02-09 19:06:24,Delivered,7408.26,177798192.0,6734.78,673.48,0,0.0,USD,Paid,E_Wallet_ZaloPay,Same_Day,"3 Can Tho Street, Can Tho, Can Tho",Social_Media,Sendo,South,Regular,Vietnam,0,Vietnam_Order_Patterns,2025-10-01T19:06:24.626854,VN_ORDER_000015,2025-10-01T21:32:54.885802
